"","country","city","lat","long","BC8000","BC7500","BC7000","BC6500","BC6000","BC5500","BC5000","BC4500","BC4000","BC3500","BC3000","BC2500","BC2000","BC1500","BC1000","BC500","AD0","AD100","AD200","AD300","AD400","AD500","AD600","AD700","AD800","AD900","AD1000","AD1050","AD1100","AD1150","AD1200","AD1250","AD1300","AD1350","AD1400","AD1450","AD1500","AD1525","AD1550","AD1575","AD1600","AD1625","AD1650","AD1675","AD1700","AD1725","AD1750","AD1775","AD1800","AD1825","AD1850","AD1875","AD1900","AD1925","AD1950","AD1975","AD2000","AD2010"
"107","Afghanistan","Kabul",34.51671,69.18325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,51.25,70,100,154,489,2208,2750
"942","Afghanistan","Bust",31.59842,64.37439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
"1156","Afghanistan","Ghazni",33.55,68.41667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,53.3333333333333,46.6666666666667,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,65,48,0,0
"1158","Afghanistan","Ghor",35.75694,52.77389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1221","Afghanistan","Herat",34.3423,62.20233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,45.2,46.4,47.6,48.8,50,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,30,20,250,157,0,0
"1305","Afghanistan","Kandahar",31.617,65.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,50,25,0,0,0,31,60,280,209,0,0
"1393","Afghanistan","Lashkar Gah",31.58306,64.36917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,20,27.5,0,0
"1081","Albanie","Duras",41.31667,19.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,25,57,99,0
"1760","Albanie","Scutari",42.06688,19.512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,25.5,35,58.5,82,0
"87","Algeria","Alger",36.76308,3.05054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,70,75,87.5,100,92.5,85,80,75,74,73,0,0,53,134,222,498,1353,2122.66666666667,3200
"522","Algeria","Constantine",36.36001,6.59994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,52,94,120,350,495.833333333333,650
"911","Algeria","Bougie",36.75,5.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,60,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,16,28,74,0,0
